Filename,Src,Tar,Src Pred.,Src Conf.,Tar Pred.,Tar Conf.,Similarity,Src Des,Tar Des
/home/sha/project/adversarial_deepfake/src/Similarity/FaceApp/fake/Emma Watson/IU.jpg,Emma Watson,IU,Emma Watson,0.9996178150177002,,,0.5764246,'Emma Watson standing in front of a mirror posing for the camera' with confidence 77.47%,'a close up of a boy and a girl looking at the camera' with confidence 58.49%
/home/sha/project/adversarial_deepfake/src/Similarity/FaceApp/fake/Emma Watson/Emma Stone.jpg,Emma Watson,Emma Stone,Emma Watson,0.9996178150177002,,,0.600149155,'Emma Watson standing in front of a mirror posing for the camera' with confidence 77.47%,'a young woman with long hair looking at the camera' with confidence 92.36%
/home/sha/project/adversarial_deepfake/src/Similarity/FaceApp/fake/Emma Watson/Scarlett Johansson.jpg,Emma Watson,Scarlett Johansson,Emma Watson,0.9996178150177002,,,0.593031764,'Emma Watson standing in front of a mirror posing for the camera' with confidence 77.47%,'a woman smiling and posing for the camera' with confidence 95.91%
/home/sha/project/adversarial_deepfake/src/Similarity/FaceApp/fake/Emma Watson/Madhuri Dixit.jpg,Emma Watson,Madhuri Dixit,Emma Watson,0.9996178150177002,,,0,'Emma Watson standing in front of a mirror posing for the camera' with confidence 77.47%,'a woman posing for a photo' with confidence 96.05%
/home/sha/project/adversarial_deepfake/src/Similarity/FaceApp/fake/Emma Watson/Ariana Grande.jpg,Emma Watson,Ariana Grande,Emma Watson,0.9996178150177002,,,0,'Emma Watson standing in front of a mirror posing for the camera' with confidence 77.47%,'a close up of a boy and a girl posing for a photo' with confidence 59.96%
/home/sha/project/adversarial_deepfake/src/Similarity/FaceApp/fake/Emma Watson/Rihanna.jpg,Emma Watson,Rihanna,Emma Watson,0.9996178150177002,,,0,'Emma Watson standing in front of a mirror posing for the camera' with confidence 77.47%,'a woman posing for the camera' with confidence 97.83%
/home/sha/project/adversarial_deepfake/src/Similarity/FaceApp/fake/Emma Watson/Angelina Jolie.jpg,Emma Watson,Angelina Jolie,Emma Watson,0.9996178150177002,,,0.5595408,'Emma Watson standing in front of a mirror posing for the camera' with confidence 77.47%,'a woman posing for a photo' with confidence 96.43%
/home/sha/project/adversarial_deepfake/src/Similarity/FaceApp/fake/Emma Watson/Tamannaah.jpg,Emma Watson,Tamannaah,Emma Watson,0.9996178150177002,,,0,'Emma Watson standing in front of a mirror posing for the camera' with confidence 77.47%,'a woman standing in front of a mirror posing for the camera' with confidence 79.03%
/home/sha/project/adversarial_deepfake/src/Similarity/FaceApp/fake/Emma Watson/Billie Eilish.jpg,Emma Watson,Billie Eilish,Emma Watson,0.9996178150177002,,,0.583711267,'Emma Watson standing in front of a mirror posing for the camera' with confidence 77.47%,'a woman posing for the camera' with confidence 96.89%
/home/sha/project/adversarial_deepfake/src/Similarity/FaceApp/fake/Aamir Khan/Tom Cruise.jpg,Aamir Khan,Tom Cruise,Aamir Khan,0.9835174083709717,,,0,'Aamir Khan looking at the camera' with confidence 89.32%,'a man smiling for the camera' with confidence 95.74%
