Filename,Src,Tar,Src Pred.,Src Conf.,Tar Pred.,Tar Conf.,Similarity,Src Des,Tar Des
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0009/Gal Gadot_fake.png,Emma Watson,Gal Gadot,Emma Watson,0.9999649524688721,Emma Watson,0.9774622321128845,0.890706241,'Emma Watson looking at the camera' with confidence 93.73%,'a close up of Emma Watson' with confidence 96.60%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0009/Liam Neeson_fake.png,Emma Watson,Liam Neeson,Emma Watson,0.9999649524688721,Emma Watson,0.9983610510826111,0.8510795,'Emma Watson looking at the camera' with confidence 93.73%,'Emma Watson looking at the camera' with confidence 93.28%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0009/Jessica Alba_fake.png,Emma Watson,Jessica Alba,Emma Watson,0.9999649524688721,Emma Watson,0.986079752445221,0.7529936,'Emma Watson looking at the camera' with confidence 93.73%,'Emma Watson looking at the camera' with confidence 93.19%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0009/Eva Mendes_fake.png,Emma Watson,Eva Mendes,Emma Watson,0.9999649524688721,Emma Watson,0.9999219179153442,0.8978607,'Emma Watson looking at the camera' with confidence 93.73%,'a close up of Emma Watson' with confidence 94.75%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0010/Keira Knightley_fake.png,Emma Watson,Keira Knightley,Emma Watson,0.9991210103034973,Emma Watson,0.9655603766441345,0.8975818,'Emma Watson looking at the camera' with confidence 92.43%,'Emma Watson looking at the camera' with confidence 95.05%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0010/Jessica Alba_fake.png,Emma Watson,Jessica Alba,Emma Watson,0.9991210103034973,Emma Watson,0.9227268099784851,0.827809751,'Emma Watson looking at the camera' with confidence 92.43%,'a close up of Emma Watson' with confidence 93.65%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0010/Edward Norton_fake.png,Emma Watson,Edward Norton,Emma Watson,0.9991210103034973,Emma Watson,0.9980194568634033,0.8912413,'Emma Watson looking at the camera' with confidence 92.43%,'Emma Watson looking at the camera' with confidence 94.88%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0010/Amir Khan_fake.png,Emma Watson,Amir Khan,Emma Watson,0.9991210103034973,,,0.667463362,'Emma Watson looking at the camera' with confidence 92.43%,'a close up of a woman' with confidence 96.25%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0001/Carrie-Anne Moss_fake.png,Emma Watson,Carrie-Anne Moss,Emma Watson,0.7837050557136536,,,0.8049997,'Emma Watson wearing a dress shirt and tie' with confidence 88.35%,'a person wearing a dress shirt and tie' with confidence 89.38%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0001/Randall Park_fake.png,Emma Watson,Randall Park,Emma Watson,0.7837050557136536,Emma Watson,0.739872395992279,0.9156777,'Emma Watson wearing a dress shirt and tie' with confidence 88.35%,'Emma Watson posing for the camera' with confidence 94.81%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0001/Evangeline Lilly_fake.png,Emma Watson,Evangeline Lilly,Emma Watson,0.7837050557136536,,,0.873373568,'Emma Watson wearing a dress shirt and tie' with confidence 88.35%,'a person wearing a white shirt' with confidence 85.79%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0001/Kate Winslet_fake.png,Emma Watson,Kate Winslet,Emma Watson,0.7837050557136536,,,0.817400157,'Emma Watson wearing a dress shirt and tie' with confidence 88.35%,'a person wearing a white shirt' with confidence 83.07%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0000/Denzel Washington_fake.png,Emma Watson,Denzel Washington,Emma Watson,0.976364016532898,,,0.873564065,'Emma Watson posing for the camera' with confidence 93.10%,'a woman looking at the camera' with confidence 90.90%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0000/Ryan Gosling_fake.png,Emma Watson,Ryan Gosling,Emma Watson,0.976364016532898,Emma Watson,0.8264853358268738,0.710042238,'Emma Watson posing for the camera' with confidence 93.10%,'Emma Watson posing for the camera' with confidence 94.46%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0000/Jake Gyllenhaal_fake.png,Emma Watson,Jake Gyllenhaal,Emma Watson,0.976364016532898,,,0,'Emma Watson posing for the camera' with confidence 93.10%,'a woman looking at the camera' with confidence 93.65%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0000/Colin Farrell_fake.png,Emma Watson,Colin Farrell,Emma Watson,0.976364016532898,,,0.84127903,'Emma Watson posing for the camera' with confidence 93.10%,'a person posing for the camera' with confidence 94.65%
/home/sha/project/adversarial_deepfake/src/Similarity/FOM-Talking/Emma Watson/id11_0004/Yang Lan_fake.png,Emma Watson,Yang Lan,Emma Watson,0.9956080317497253,,,0.7652827,'Emma Watson smiling for the camera' with confidence 94.50%,'a person posing for the camera' with confidence 94.06%
